# started 2026-09-21 14:35:43  level/status: level=3 held=yes cfb=0 prime=3513600 junc=34C left=常开 pids=12628 21522 26316 8945 
# p6max=3513600 p0max=3532800 cfb=0
# node=0:3532800 1:3532800 2:3532800 3:3532800 4:3532800 5:3532800 6:3513600 7:3513600 
ts|c0|c1|c2|c3|c4|c5|c6|c7|p0max|p6max|junc|shell|cfb|cool
1789994198|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|50900|25600|0|no
1789994199|3072000|3072000|3072000|3072000|2745600|2745600|3513600|3513600|3532800|3513600|52100|25600|0|no
1789994199|3072000|3072000|3072000|2227200|3072000|3072000|3513600|3513600|3532800|3513600|54400|25600|0|no
1789994200|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|51700|25600|0|no
1789994201|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|51700|25600|0|no
1789994201|2745600|2745600|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|51700|25600|0|no
1789994202|1363200|1363200|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|52100|25600|0|no
1789994202|960000|1152000|1152000|1555200|1996800|1996800|1017600|1017600|3532800|3513600|40500|25600|0|no
1789994203|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|39300|25600|0|no
1789994204|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|38200|25600|0|no
1789994204|2400000|2400000|2400000|2400000|1996800|1996800|1017600|1017600|3532800|3513600|37800|25600|0|no
1789994205|2400000|2400000|1785600|1785600|2745600|2400000|1017600|1017600|3532800|3513600|37000|25600|0|no
1789994205|2400000|2400000|2400000|2400000|2227200|2227200|1017600|1017600|3532800|3513600|36600|25600|0|no
1789994206|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|36300|25600|0|no
1789994207|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|35900|25600|0|no
1789994207|1152000|1555200|1555200|1996800|1996800|2745600|3513600|3513600|3532800|3513600|49000|25600|0|no
1789994208|1152000|3072000|3072000|3072000|3072000|2745600|3513600|3513600|3532800|3513600|51700|25600|0|no
1789994209|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|52900|25600|0|no
1789994209|1996800|1996800|1996800|2227200|2227200|2227200|3513600|3513600|3532800|3513600|52900|25600|0|no
1789994210|1996800|1996800|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|53200|25600|0|no
1789994210|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|55600|25600|0|no
1789994211|3072000|3072000|3072000|3072000|3072000|3072000|1017600|1017600|3532800|3513600|41300|25600|0|no
1789994212|2400000|2227200|2227200|2227200|2400000|2400000|1017600|1017600|3532800|3513600|39300|25600|0|no
1789994212|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|38200|25600|0|no
1789994213|2400000|2400000|2400000|2400000|2400000|2227200|1017600|1017600|3532800|3513600|37400|25500|0|no
1789994213|2400000|2400000|2400000|2400000|2400000|3072000|1017600|1017600|3532800|3513600|37400|25500|0|no
1789994214|2400000|2400000|2400000|1996800|1996800|1996800|1017600|1017600|3532800|3513600|37000|25500|0|no
1789994215|1152000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|36600|25500|0|no
1789994215|2400000|2400000|2400000|2400000|3072000|3072000|1017600|1017600|3532800|3513600|37000|25500|0|no
1789994216|3072000|3072000|3072000|2745600|2745600|2745600|3513600|3513600|3532800|3513600|48600|25500|0|no
1789994217|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|50500|25500|0|no
1789994217|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|51700|25500|0|no
1789994218|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|66800|25500|0|no
1789994218|2745600|2745600|2745600|2745600|2745600|2745600|3513600|3513600|3532800|3513600|75300|25500|0|no
1789994219|2918400|2918400|2918400|2918400|2918400|2918400|1017600|1017600|3532800|3513600|48600|25500|0|no
1789994220|3072000|3072000|2918400|2918400|2918400|3072000|1017600|1017600|3532800|3513600|42400|25500|0|no
1789994220|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|39700|25500|0|no
1789994221|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|39000|25500|0|no
1789994221|3072000|3072000|3072000|2400000|2400000|1785600|1017600|1017600|3532800|3513600|38200|25500|0|no
1789994222|2400000|2400000|2400000|2400000|2400000|2227200|1017600|1017600|3532800|3513600|37400|25500|0|no
1789994223|2400000|2400000|2400000|1996800|1996800|1785600|1017600|1017600|3532800|3513600|36600|25400|0|no
1789994223|960000|2400000|2400000|1996800|1996800|1996800|1017600|1017600|3532800|3513600|36300|25400|0|no
1789994224|1555200|1785600|1785600|1996800|1996800|1996800|3513600|3513600|3532800|3513600|54400|25400|0|no
1789994224|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|59400|25400|0|no
1789994225|3072000|3072000|3072000|2745600|2745600|2745600|3513600|3513600|3532800|3513600|60600|25400|0|no
1789994226|3072000|3072000|3072000|2400000|2400000|2400000|3513600|3513600|3532800|3513600|72900|25400|0|no
1789994226|3072000|3072000|2745600|2745600|2745600|1996800|3513600|3513600|3532800|3513600|62500|25400|0|no
1789994227|3072000|3072000|2918400|2918400|2918400|2918400|3513600|3513600|3532800|3513600|64500|25400|0|no
1789994227|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|69100|25400|0|no
1789994228|2227200|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|66000|25400|0|no
1789994229|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|71800|25400|0|no
1789994229|1152000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|71000|25400|0|no
1789994230|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|73700|25400|0|no
1789994230|1152000|1152000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|74500|25400|0|no
1789994231|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|68700|25400|0|no
1789994232|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|70600|25400|0|no
1789994232|1363200|1363200|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|75300|25400|0|no
1789994233|3072000|3072000|3072000|3072000|3072000|3072000|1017600|1017600|3532800|3513600|47500|25400|0|no
1789994233|3072000|3072000|2918400|2918400|2918400|2745600|1017600|1017600|3532800|3513600|42400|25400|0|no
1789994234|960000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|40900|25400|0|no
1789994235|2400000|2400000|2400000|2400000|2400000|2227200|1017600|1017600|3532800|3513600|39300|25400|0|no
1789994235|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|39000|25400|0|no
1789994236|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|38600|25400|0|no
1789994237|2400000|2400000|2400000|1996800|1996800|2400000|1017600|1017600|3532800|3513600|38200|25400|0|no
1789994237|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|37400|25400|0|no
1789994238|2227200|2227200|2227200|1996800|1996800|1996800|3513600|3513600|3532800|3513600|45900|25400|0|no
1789994238|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|52100|25400|0|no
1789994239|3072000|3072000|3072000|3072000|2400000|2400000|3513600|3513600|3532800|3513600|52900|25400|0|no
1789994240|1363200|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|54000|25400|0|no
1789994240|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|54800|25400|0|no
1789994241|3072000|3072000|3072000|2918400|2918400|2918400|1017600|1017600|3532800|3513600|42000|25400|0|no
1789994241|3072000|3072000|3072000|3072000|3072000|3072000|1017600|1017600|3532800|3513600|40100|25400|0|no
1789994242|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|38600|25400|0|no
1789994243|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|38200|25300|0|no
1789994243|960000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|37400|25300|0|no
1789994244|960000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|37400|25300|0|no
1789994245|2745600|3072000|3072000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|37400|25300|0|no
1789994245|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|36600|25300|0|no
1789994246|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|64500|25300|0|no
1789994246|3072000|3072000|3072000|3072000|2918400|2918400|3513600|3513600|3532800|3513600|71400|25300|0|no
1789994247|3072000|3072000|3072000|2918400|2918400|2918400|3513600|3513600|3532800|3513600|64500|25300|0|no
1789994248|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|69900|25300|0|no
1789994248|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|74100|25300|0|no
1789994249|3072000|3072000|3072000|2745600|2745600|2745600|3513600|3513600|3532800|3513600|67900|25300|0|no
1789994249|1555200|1785600|1785600|1785600|1363200|3072000|3513600|3513600|3532800|3513600|63300|25300|0|no
1789994250|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|75700|25300|0|no
1789994251|2400000|2400000|2227200|2227200|2227200|2227200|3513600|3513600|3532800|3513600|69900|25300|0|no
1789994251|1996800|1996800|1996800|1996800|1555200|1555200|3513600|3513600|3532800|3513600|72900|25300|0|no
1789994252|1363200|1363200|1555200|1555200|3072000|3072000|3513600|3513600|3532800|3513600|74900|25300|0|no
1789994252|960000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|71000|25300|0|no
1789994253|3072000|3072000|3072000|3072000|3072000|2918400|3513600|3513600|3532800|3513600|74500|25300|0|no
1789994254|1363200|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|76800|25300|0|no
1789994254|3072000|3072000|3072000|2918400|2918400|2918400|1017600|1017600|3532800|3513600|44000|25300|0|no
1789994255|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|42000|25300|0|no
1789994256|2400000|2227200|2227200|2227200|1996800|1996800|1017600|1017600|3532800|3513600|39700|25300|0|no
1789994256|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|39000|25300|0|no
1789994257|748800|748800|748800|748800|960000|2400000|1017600|1017600|3532800|3513600|37800|25300|0|no
1789994258|1363200|1363200|1152000|1152000|1152000|2745600|1017600|1017600|3532800|3513600|37400|25300|0|no
1789994258|1152000|1152000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|37000|25300|0|no
1789994259|960000|1152000|1152000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|36600|25300|0|no
1789994259|1152000|1363200|1363200|1152000|1363200|1363200|3513600|3513600|3532800|3513600|50900|25300|0|no
1789994260|1363200|1555200|1555200|1555200|1363200|1363200|3513600|3513600|3532800|3513600|49400|25300|0|no
1789994261|1363200|1363200|1555200|1555200|1363200|1363200|3513600|3513600|3532800|3513600|64800|25300|0|no
1789994261|2745600|2745600|2745600|2227200|2227200|2227200|3513600|3513600|3532800|3513600|68700|25300|0|no
1789994262|3072000|3072000|3072000|3072000|2400000|2400000|3513600|3513600|3532800|3513600|61000|25300|0|no
1789994263|3072000|3072000|3072000|3072000|3072000|2227200|3513600|3513600|3532800|3513600|69100|25300|0|no
1789994263|3072000|3072000|3072000|3072000|2227200|2227200|3513600|3513600|3532800|3513600|69100|25300|0|no
1789994264|1152000|1152000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|66000|25300|0|no
1789994265|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|69900|25300|0|no
1789994265|1363200|3072000|3072000|3072000|1996800|1996800|3513600|3513600|3532800|3513600|63300|25300|0|no
1789994266|3072000|3072000|3072000|3072000|1785600|1785600|3513600|3513600|3532800|3513600|54400|25300|0|no
1789994266|1152000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|57500|25300|0|no
1789994267|3072000|3072000|3072000|3072000|2227200|2227200|3513600|3513600|3532800|3513600|52900|25300|0|no
1789994268|3072000|3072000|3072000|3072000|3072000|1996800|1017600|1017600|3532800|3513600|44400|25200|0|no
1789994268|3072000|3072000|3072000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|40100|25200|0|no
1789994269|748800|2400000|2400000|1996800|1996800|2745600|1017600|1017600|3532800|3513600|39000|25200|0|no
1789994270|2400000|1555200|1555200|1996800|1996800|2400000|1017600|1017600|3532800|3513600|39000|25200|0|no
1789994270|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|38200|25200|0|no
1789994271|2400000|1996800|1996800|1996800|1996800|1996800|1017600|1017600|3532800|3513600|37000|25200|0|no
1789994271|1363200|1152000|1152000|1152000|2400000|2400000|1017600|1017600|3532800|3513600|37400|25200|0|no
1789994272|2400000|2400000|2227200|2227200|2227200|2227200|1017600|1017600|3532800|3513600|36600|25200|0|no
1789994273|1555200|1555200|1785600|1785600|3072000|3072000|3513600|3513600|3532800|3513600|47800|25200|0|no
1789994273|3072000|3072000|3072000|2227200|2227200|1555200|3513600|3513600|3532800|3513600|54400|25200|0|no
1789994274|1363200|1363200|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|59800|25200|0|no
1789994275|1152000|3072000|3072000|3072000|2918400|2918400|3513600|3513600|3532800|3513600|56300|25200|0|no
1789994275|3072000|3072000|3072000|2745600|2745600|2745600|1017600|1017600|3532800|3513600|44800|25200|0|no
1789994276|3072000|3072000|3072000|3072000|3072000|3072000|1017600|1017600|3532800|3513600|40500|25200|0|no
1789994277|748800|2400000|2400000|2400000|1555200|1555200|1017600|1017600|3532800|3513600|38600|25200|0|no
