# started 2026-09-21 14:18:28  level/status: level=3 held=yes cfb=0 prime=3513600 junc=31C left=常开 pids=12628 26316 7390 8945 
# p6max=3513600 p0max=2918400 cfb=0
# node=0:2918400 1:2918400 2:2918400 3:2918400 4:2918400 5:2918400 6:3513600 7:3513600 
ts|c0|c1|c2|c3|c4|c5|c6|c7|p0max|p6max|junc|shell|cfb|cool
1789993165|2227200|2227200|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|38600|27400|0|no
1789993166|2745600|2400000|2400000|2918400|2918400|2918400|1017600|1017600|2918400|3513600|38200|27400|0|no
1789993167|748800|960000|1152000|1363200|1363200|2400000|1017600|1017600|2918400|3513600|37000|27400|0|no
1789993167|2918400|2745600|2918400|2918400|2918400|2400000|1017600|1017600|2918400|3513600|37000|27400|0|no
1789993168|1555200|1555200|1363200|1555200|1555200|1785600|1017600|1017600|2918400|3513600|36600|27300|0|no
1789993169|1555200|1555200|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|61000|27300|0|no
1789993169|1152000|1152000|1152000|1152000|1152000|2918400|3513600|3513600|2918400|3513600|64500|27300|0|no
1789993170|1363200|1363200|1152000|1363200|1363200|1555200|3513600|3513600|2918400|3513600|61400|27300|0|no
1789993171|1152000|2918400|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|67900|27300|0|no
1789993171|1363200|1555200|1555200|2918400|2918400|2918400|3513600|3513600|2918400|3513600|69100|27300|0|no
1789993172|960000|960000|960000|1152000|2918400|2918400|1017600|1017600|2918400|3513600|43600|27300|0|no
1789993172|2918400|2918400|2918400|2918400|2918400|2918400|1017600|1017600|2918400|3513600|40100|27300|0|no
1789993173|1996800|1996800|1996800|1996800|1996800|2400000|1017600|1017600|2918400|3513600|38600|27200|0|no
1789993174|2400000|2400000|2400000|2400000|2227200|2227200|1017600|1017600|2918400|3513600|37800|27200|0|no
1789993174|960000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|37000|27200|0|no
1789993175|2400000|2400000|1555200|1555200|2745600|2400000|1017600|1017600|2918400|3513600|36600|27200|0|no
1789993176|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|36300|27200|0|no
1789993176|2745600|2918400|2400000|2745600|2745600|2918400|1017600|1017600|2918400|3513600|35900|27200|0|no
1789993177|1152000|1152000|1152000|1152000|1363200|1363200|3513600|3513600|2918400|3513600|53200|27200|0|no
1789993178|1152000|1152000|1363200|1363200|1555200|1555200|3513600|3513600|2918400|3513600|55600|27200|0|no
1789993178|1363200|1363200|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|61700|27200|0|no
1789993179|1152000|1363200|1363200|2918400|2918400|2918400|3513600|3513600|2918400|3513600|63700|27200|0|no
1789993179|1152000|1152000|1152000|1152000|1363200|1363200|3513600|3513600|2918400|3513600|67900|27200|0|no
1789993180|1152000|1152000|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|49400|27200|0|no
1789993181|960000|1152000|2918400|2918400|2918400|2745600|1017600|1017600|2918400|3513600|39300|27200|0|no
1789993181|2400000|2400000|2400000|2400000|2745600|2918400|1017600|1017600|2918400|3513600|38200|27200|0|no
1789993182|2400000|2400000|2227200|2227200|1785600|1785600|1017600|1017600|2918400|3513600|37000|27200|0|no
1789993183|2400000|2400000|2745600|1996800|1996800|1555200|1017600|1017600|2918400|3513600|36300|27100|0|no
1789993183|2400000|2400000|2227200|2227200|1996800|1996800|1017600|1017600|2918400|3513600|35900|27100|0|no
1789993184|2400000|2400000|2227200|2227200|2227200|2227200|1017600|1017600|2918400|3513600|35500|27100|0|no
1789993185|1555200|2400000|2745600|2400000|2400000|2400000|1017600|1017600|2918400|3513600|35900|27100|0|no
1789993185|2918400|2918400|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|56300|27100|0|no
1789993186|1363200|1363200|1152000|1152000|1152000|1152000|3513600|3513600|2918400|3513600|55200|27100|0|no
1789993186|1152000|1152000|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|66000|27100|0|no
1789993187|2918400|2918400|2918400|1785600|1785600|1785600|3513600|3513600|2918400|3513600|67500|27100|0|no
1789993188|2918400|2918400|2918400|1785600|1785600|1785600|3513600|3513600|2918400|3513600|64800|27000|0|no
1789993188|1152000|1152000|1152000|1152000|1152000|1152000|3513600|3513600|2918400|3513600|53600|27000|0|no
1789993189|1152000|1152000|1152000|1363200|1363200|2918400|3513600|3513600|2918400|3513600|54000|27000|0|no
1789993190|2918400|2918400|2918400|2918400|1785600|1785600|3513600|3513600|2918400|3513600|56700|27000|0|no
1789993190|1152000|1363200|1363200|2918400|2918400|2918400|3513600|3513600|2918400|3513600|54800|27000|0|no
1789993191|1152000|1152000|1152000|2918400|2918400|2918400|3513600|3513600|2918400|3513600|56700|27000|0|no
1789993191|1152000|1555200|1555200|2918400|2918400|2918400|3513600|3513600|2918400|3513600|54000|27000|0|no
1789993192|1152000|1152000|1152000|1152000|2918400|2918400|3513600|3513600|2918400|3513600|58700|27000|0|no
1789993193|1363200|2918400|2918400|2918400|1555200|1555200|3513600|3513600|2918400|3513600|54400|26900|0|no
1789993193|1152000|1152000|1363200|1363200|1363200|2918400|3513600|3513600|2918400|3513600|57900|26900|0|no
1789993194|960000|960000|960000|748800|748800|960000|1017600|1017600|2918400|3513600|44000|26900|0|no
1789993195|1152000|1363200|1363200|1363200|1363200|1152000|1017600|1017600|2918400|3513600|40100|26900|0|no
1789993195|2400000|2400000|2400000|1555200|2400000|2400000|1017600|1017600|2918400|3513600|39000|26900|0|no
1789993196|960000|960000|748800|2400000|2400000|2400000|1017600|1017600|2918400|3513600|37800|26900|0|no
1789993197|1363200|1363200|1555200|1555200|1555200|1555200|1017600|1017600|2918400|3513600|37800|26900|0|no
