# scheduler-event-tracer
# label=T2 correct filter
# tid=31055 comm=w-wake comm_glob= alive_at_end=yes
# duration_s=3 uptime_start=165869.72 764556.76 uptime_end=165872.73 764577.39
# trace_clock=global buffer_size_kb_per_cpu=4099 instance=s2a
# events=sched/sched_waking,sched/sched_wakeup,sched/sched_wakeup_new,sched/sched_switch,sched/sched_migrate_task,sched/sched_stat_wait,sched/sched_process_exit,schedwalt/sched_task_util,schedwalt/sched_enq_deq_task,schedwalt/sched_find_best_target,sched_assist/set_ux_task_to_prefer_cpu,frame_boost/find_frame_boost_cpu,
# filter=pid==31055 (sched_switch: prev_pid||next_pid)
# entries=1052 overrun=0 commit_overrun=0 dropped=0
#
# cpu0 entries=158 overrun=0 commit_overrun=0 dropped=0
# cpu1 entries=473 overrun=0 commit_overrun=0 dropped=0
# cpu2 entries=0 overrun=0 commit_overrun=0 dropped=0
# cpu3 entries=0 overrun=0 commit_overrun=0 dropped=0
# cpu4 entries=242 overrun=0 commit_overrun=0 dropped=0
# cpu5 entries=160 overrun=0 commit_overrun=0 dropped=0
# cpu6 entries=19 overrun=0 commit_overrun=0 dropped=0
# cpu7 entries=0 overrun=0 commit_overrun=0 dropped=0
# loss=none
# tracer: nop
#
# entries-in-buffer/entries-written: 1052/1052   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [006] d.h3. 116549.607893: sched_waking: comm=w-wake pid=31055 prio=120 target_cpu=006
          <idle>-0       [006] d.h3. 116549.607908: sched_find_best_target: pid=31055 comm=w-wake start_cpu=0 candidates=0x1 most_spare_cap=0 order_index=0 end_index=0 skip=-1 running=0 min_util=265 spare_rq_cpu=0 min_runnable=1
          <idle>-0       [006] d.h3. 116549.607914: sched_task_util: pid=31055 comm=w-wake util=265 prev_cpu=6 candidates=0x1 best_energy_cpu=6 sync=0 need_idle=0 fastpath=0 placement_boost=0 latency=11875 stune_boosted=0 is_rtg=0 rtg_skip_min=0 start_cpu=0 unfilter=100000000 affinity=ff task_boost=0 low_latency=0 iowaited=0 load_boost=0 sync_state=1 pipeline_cpu=-1 yield_cnt=0
          <idle>-0       [006] d.h4. 116549.607919: sched_enq_deq_task: cpu=6 enqueue comm=w-wake pid=31055 prio=120 nr_running=0 rt_nr_running=0 affine=ff demand=2076186 pred_demand_scaled=6 is_compat_t=0 mvp=0 misfit=0
          <idle>-0       [006] dNh4. 116549.607924: sched_wakeup: comm=w-wake pid=31055 prio=120 target_cpu=006
          <idle>-0       [006] dN.2. 116549.607938: sched_stat_wait: comm=w-wake pid=31055 delay=0 [ns]
          <idle>-0       [006] d..2. 116549.607945: sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [006] d..2. 116549.618350: sched_enq_deq_task: cpu=6 dequeue comm=w-wake pid=31055 prio=120 nr_running=1 rt_nr_running=0 affine=ff demand=1831953 pred_demand_scaled=123 is_compat_t=0 mvp=0 misfit=0
          w-wake-31055   [006] d..2. 116549.618364: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=S ==> next_comm=swapper/6 next_pid=0 next_prio=120
          <idle>-0       [006] d.h3. 116549.640506: sched_waking: comm=w-wake pid=31055 prio=120 target_cpu=006
