timestamp,uptime,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu0_util,cpu1_util,cpu2_util,cpu3_util,cpu4_util,cpu5_util,cpu6_util,cpu7_util,cpu0_max_freq,cpu1_max_freq,cpu2_max_freq,cpu3_max_freq,cpu4_max_freq,cpu5_max_freq,cpu6_max_freq,cpu7_max_freq,policy0_min_freq,policy0_max_freq,policy6_min_freq,policy6_max_freq,geekbench_pid,gb_main_tid,gb_main_thread_name,gb_main_thread_cpu,gb_main_thread_util,gb_main_thread_util_est,gb_main_thread_jiffies,gb_running_threads,gb_running_cpus,gb_nr_migrations,gb_cpuset,gb_cpus_allowed,gb_thread_cpuset,gb_thread_cpus_allowed,gb_uclamp_min,gb_uclamp_max,gb_uclamp_eff_min,gb_uclamp_eff_max,cpu_temp,cpu6_temp,cpu7_temp,cpuss0_temp,soc_temp,gpu_temp,skin_temp,battery_temp,thermal_status,thermal_status_name,cdev_cpu_cluster0,cdev_cpu_cluster1,cdev_ddr,cdev_pause_cpu6,cdev_pause_cpu7,gameopt_cpu6_max,gameopt_cpu7_max,gameopt_game_pid,gameopt_dsu_freq,gameopt_fake_cpu7_max
1786636118.417,250957.55,556800,556800,556800,556800,556800,556800,1017600,1017600,53.1,35.3,7.1,10.7,7.1,20.7,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.4,39.0,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636118.691,250957.84,556800,556800,556800,556800,556800,556800,1017600,1017600,43.8,33.3,0.0,6.9,20.7,10.7,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.0,38.2,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636118.966,250958.11,556800,556800,556800,556800,556800,556800,1017600,1017600,46.9,40.6,0.0,0.0,37.9,15.4,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.0,38.6,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636119.214,250958.39,748800,748800,748800,748800,748800,748800,1017600,1017600,48.1,47.1,0.0,0.0,37.0,32.1,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.0,38.6,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636119.484,250958.63,556800,556800,556800,556800,556800,556800,1017600,1017600,55.6,35.7,17.4,0.0,28.0,16.7,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.0,37.4,38.2,30,36.6,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636119.799,250958.91,556800,556800,556800,556800,556800,556800,1017600,1017600,48.5,40.0,3.6,3.6,27.6,10.7,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.0,38.2,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636120.074,250959.22,556800,556800,556800,556800,556800,556800,1017600,1017600,56.2,39.4,0.0,14.7,40.6,36.4,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.4,38.2,30,36.6,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636120.338,250959.50,556800,556800,556800,556800,556800,556800,1017600,1017600,46.4,36.4,0.0,0.0,7.7,31.0,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.0,39.0,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636120.600,250959.75,748800,748800,748800,748800,748800,748800,1017600,1017600,54.8,39.4,3.7,0.0,12.0,19.2,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.0,37.4,38.6,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636120.878,250960.02,556800,556800,556800,556800,556800,556800,1017600,1017600,48.3,40.0,0.0,0.0,21.4,21.4,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.0,38.2,30,36.6,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
