run_id,block,arm,uclamp_min_arm,cycle_id,req_min_at_wake,eff_min_at_wake,eff_active_at_wake,eff_bucket_at_wake,req_min_at_place,eff_min_at_place,eff_active_at_place,eff_bucket_at_place,eff_max_at_place,start_cpu,candidate_mask,min_util,most_spare_cap,order_index,end_index,skip,prev_cpu,util_raw,best_energy_cpu,fastpath,demand_raw,pred_demand,misfit,selected_cpu,first_run_cpu,wake_latency_us,initial_junction_c,peak_junction_c
s2b-r07,2,A,0,s2b-r07-153,0,0,0,0,0,0,1,0,1024,0,16,154,-1,0,0,-1,4,154,4,2,2418238,181,0,4,4,43.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-154,0,0,0,0,0,0,1,0,1024,0,2,151,-1,0,0,-1,1,151,1,2,2367210,151,0,1,1,31.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-155,0,0,0,0,0,0,1,0,1024,0,32,94,-1,0,0,-1,5,94,5,2,1469018,19,0,5,5,82.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-156,0,0,0,0,0,0,1,0,1024,0,32,64,-1,0,0,-1,5,64,5,2,1009088,54,0,5,5,76.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-157,0,0,0,0,0,0,1,0,1024,0,32,79,-1,0,0,-1,5,79,5,2,1240405,79,0,5,5,104.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-158,0,0,0,0,0,0,1,0,1024,0,16,59,4,0,0,-1,5,59,5,0,934066,9,0,5,4,161.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-159,0,0,0,0,0,0,1,0,1024,0,16,80,-1,0,0,-1,4,80,4,2,1258329,80,0,4,4,81.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-160,0,0,0,0,0,0,1,0,1024,0,16,92,3,0,0,-1,4,92,4,0,1450423,92,0,4,4,178.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-161,0,0,0,0,0,0,1,0,1024,0,16,125,-1,0,0,-1,4,125,4,2,1968618,125,0,4,4,86.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-162,0,0,0,0,0,0,1,0,1024,0,16,163,-1,0,0,-1,4,163,4,2,2556375,163,0,4,4,16.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-163,0,0,0,0,0,0,1,0,1024,0,2,157,-1,0,0,-1,1,157,1,2,2468715,163,0,1,1,23.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-164,0,0,0,0,0,0,1,0,1024,0,2,147,-1,0,0,-1,1,147,1,2,2305554,163,0,1,1,51.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-165,0,0,0,0,0,0,1,0,1024,0,2,123,-1,0,0,-1,1,123,1,2,1934185,94,0,1,1,200.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-166,0,0,0,0,0,0,1,0,1024,0,32,91,5,0,0,-1,5,91,5,0,1426877,55,0,5,5,137.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-167,0,0,0,0,0,0,1,0,1024,0,16,81,-1,0,0,-1,4,81,4,2,1267742,63,0,4,4,61.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-168,0,0,0,0,0,0,1,0,1024,0,16,67,-1,0,0,-1,4,67,4,2,1056220,63,0,4,4,101.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-169,0,0,0,0,0,0,1,0,1024,0,16,96,-1,0,0,-1,4,96,4,2,1512323,96,0,4,4,45.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-170,0,0,0,0,0,0,1,0,1024,0,4,154,2,0,0,-1,4,154,2,0,2417246,154,0,2,2,38.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-171,0,0,0,0,0,0,1,0,1024,0,4,150,-1,0,0,-1,2,150,2,2,2349190,154,0,2,2,30.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-172,0,0,0,0,0,0,1,0,1024,0,4,109,-1,0,0,-1,2,109,2,2,1715165,95,0,2,2,46.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-173,0,0,0,0,0,0,1,0,1024,0,1,89,0,0,0,-1,2,89,0,0,1404785,30,0,0,0,28.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-174,0,0,0,0,0,0,1,0,1024,0,1,155,-1,0,0,-1,0,155,0,2,2424439,155,0,0,0,27.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-175,0,0,0,0,0,0,1,0,1024,0,2,160,-1,0,0,-1,1,160,1,2,2507427,160,0,1,1,71.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-176,0,0,0,0,0,0,1,0,1024,0,16,95,-1,0,0,-1,4,95,4,2,1485172,53,0,4,4,104.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-177,0,0,0,0,0,0,1,0,1024,0,1,101,0,0,0,-1,5,101,5,0,1590233,101,0,5,0,112.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-178,0,0,0,0,0,0,1,0,1024,0,2,141,-1,0,0,-1,1,141,1,2,2214991,141,0,1,1,35.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-179,0,0,0,0,0,0,1,0,1024,0,2,64,1,0,0,-1,4,64,4,0,1010460,18,0,4,5,84.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-180,0,0,0,0,0,0,1,0,1024,0,2,64,-1,0,0,-1,1,64,1,2,1004518,20,0,1,1,100.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-181,0,0,0,0,0,0,1,0,1024,0,32,83,-1,0,0,-1,5,83,5,2,1301888,83,0,5,5,84.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-182,0,0,0,0,0,0,1,0,1024,0,32,161,-1,0,0,-1,5,161,5,2,2529013,161,0,5,5,34.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-183,0,0,0,0,0,0,1,0,1024,0,1,156,0,0,0,-1,5,156,0,0,2442562,161,0,0,0,26.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-184,0,0,0,0,0,0,1,0,1024,0,32,97,-1,0,0,-1,5,97,5,2,1518384,27,0,5,5,62.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-185,0,0,0,0,0,0,1,0,1024,0,16,92,-1,0,0,-1,4,92,4,2,1447896,27,0,4,4,50.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-186,0,0,0,0,0,0,1,0,1024,0,16,151,-1,0,0,-1,4,151,4,2,2361008,151,0,4,4,103.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-187,0,0,0,0,0,0,1,0,1024,0,2,90,1,0,0,-1,4,90,1,0,1412063,109,0,1,1,110.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-188,0,0,0,0,0,0,1,0,1024,0,16,67,-1,0,0,-1,4,67,4,2,1060225,109,0,4,4,62.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-189,0,0,0,0,0,0,1,0,1024,0,2,70,-1,0,0,-1,1,70,1,2,1103218,6,0,1,1,81.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-190,0,0,0,0,0,0,1,0,1024,0,2,64,-1,0,0,-1,1,64,1,2,1006473,37,0,1,1,98.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-191,0,0,0,0,0,0,1,0,1024,0,32,89,-1,0,0,-1,5,89,5,2,1395801,89,0,5,5,68.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-192,0,0,0,0,0,0,1,0,1024,0,32,162,0,0,0,-1,4,162,5,0,2546239,162,0,5,5,46.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-193,0,0,0,0,0,0,1,0,1024,0,32,156,-1,0,0,-1,5,156,5,2,2445681,162,0,5,5,30.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-194,0,0,0,0,0,0,1,0,1024,0,32,94,-1,0,0,-1,5,94,5,2,1483599,54,0,5,5,59.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-195,0,0,0,0,0,0,1,0,1024,0,2,94,-1,0,0,-1,1,94,1,2,1473918,54,0,1,1,44.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-196,0,0,0,0,0,0,1,0,1024,0,16,76,-1,0,0,-1,4,76,4,2,1192629,54,0,4,4,73.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-197,0,0,0,0,0,0,1,0,1024,0,32,112,1,0,0,-1,0,112,5,0,1750149,112,0,5,5,26.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-198,0,0,0,0,0,0,1,0,1024,0,32,107,-1,0,0,-1,5,107,5,2,1679090,107,0,5,5,82.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-199,0,0,0,0,0,0,1,0,1024,0,1,84,0,0,0,-1,5,84,0,0,1317122,84,0,0,0,45.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-200,0,0,0,0,0,0,1,0,1024,0,1,83,-1,0,0,-1,0,83,0,2,1304249,84,0,0,0,16.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-201,0,0,0,0,0,0,1,0,1024,0,1,150,-1,0,0,-1,0,150,0,2,2350387,150,0,0,0,36.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-202,0,0,0,0,0,0,1,0,1024,0,1,153,-1,0,0,-1,0,153,0,2,2403544,153,0,0,0,24.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-203,0,0,0,0,0,0,1,0,1024,0,32,159,5,0,0,-1,1,159,5,0,2489904,159,0,5,5,21.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-204,0,0,0,0,0,0,1,0,1024,0,32,154,-1,0,0,-1,5,154,5,2,2410707,159,0,5,5,17.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-205,0,0,0,0,0,0,1,0,1024,0,32,153,-1,0,0,-1,5,153,5,2,2398944,159,0,5,5,22.0,42.8,48.2
