# extreme ceiling now: EXTREME_P6=3801600
# gate: EXTREME_GATE=95000
ts|state|p6cur|p7cur|p0cur|p6max|junc|cooling
1787163790|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29700|no
1787163791|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29700|no
1787163791|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|29700|no
1787163792|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163793|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29700|no
1787163793|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29700|no
1787163794|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|29300|no
1787163794|level=2 held=yes cfb=0 prime|1017600|1017600|1555200|3801600|29300|no
1787163795|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163795|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29700|no
1787163796|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|29300|no
1787163797|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|29300|no
1787163797|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163798|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29300|no
1787163798|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|29700|no
1787163799|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29300|no
1787163799|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|29700|no
1787163800|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|29700|no
1787163801|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|30800|no
1787163801|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|30100|no
1787163802|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29300|no
1787163802|level=2 held=yes cfb=0 prime|1017600|1017600|1555200|3801600|28900|no
1787163803|level=2 held=yes cfb=0 prime|1017600|1017600|1555200|3801600|29300|no
