run_id,block,arm,cycle_id,requested_min,effective_min,pred_demand,start_cpu,candidate_mask,misfit,selected_cpu,first_run_cpu,wake_latency_us,initial_junction_c,peak_junction_c
s2b-r01,1,A,s2b-r01-129,0,0,49,0,2,0,5,1,30.0,44.8,50.5
s2b-r01,1,A,s2b-r01-130,0,0,231,0,16,0,4,4,18.0,44.8,50.5
s2b-r01,1,A,s2b-r01-131,0,0,128,0,16,0,4,4,40.0,44.8,50.5
s2b-r01,1,A,s2b-r01-132,0,0,148,0,16,0,4,4,105.0,44.8,50.5
s2b-r01,1,A,s2b-r01-133,0,0,51,0,16,0,4,4,85.0,44.8,50.5
s2b-r01,1,A,s2b-r01-134,0,0,89,0,2,0,1,1,51.0,44.8,50.5
s2b-r01,1,A,s2b-r01-135,0,0,120,0,16,0,4,4,102.0,44.8,50.5
s2b-r01,1,A,s2b-r01-136,0,0,96,0,2,0,1,1,78.0,44.8,50.5
s2b-r01,1,A,s2b-r01-137,0,0,149,0,2,0,1,1,28.0,44.8,50.5
s2b-r01,1,A,s2b-r01-138,0,0,156,0,2,0,1,1,59.0,44.8,50.5
s2b-r01,1,A,s2b-r01-139,0,0,151,0,2,0,1,1,18.0,44.8,50.5
s2b-r01,1,A,s2b-r01-140,0,0,151,0,32,0,5,5,17.0,44.8,50.5
s2b-r01,1,A,s2b-r01-141,0,0,151,0,16,0,4,4,27.0,44.8,50.5
s2b-r01,1,A,s2b-r01-142,0,0,151,0,16,0,4,4,45.0,44.8,50.5
s2b-r01,1,A,s2b-r01-143,0,0,110,0,16,0,4,4,42.0,44.8,50.5
s2b-r01,1,A,s2b-r01-144,0,0,110,0,16,0,4,4,58.0,44.8,50.5
s2b-r01,1,A,s2b-r01-145,0,0,130,0,2,0,1,1,42.0,44.8,50.5
s2b-r01,1,A,s2b-r01-146,0,0,87,0,2,0,1,1,103.0,44.8,50.5
s2b-r01,1,A,s2b-r01-147,0,0,105,0,1,0,0,0,53.0,44.8,50.5
s2b-r01,1,A,s2b-r01-148,0,0,175,0,16,0,4,4,34.0,44.8,50.5
s2b-r01,1,A,s2b-r01-149,0,0,175,0,32,0,5,5,47.0,44.8,50.5
s2b-r01,1,A,s2b-r01-150,0,0,175,0,2,0,1,1,143.0,44.8,50.5
s2b-r01,1,A,s2b-r01-151,0,0,175,0,2,0,1,1,37.0,44.8,50.5
s2b-r01,1,A,s2b-r01-152,0,0,145,0,8,0,3,3,151.0,44.8,50.5
s2b-r01,1,A,s2b-r01-153,0,0,51,0,8,0,3,3,64.0,44.8,50.5
s2b-r01,1,A,s2b-r01-154,0,0,30,0,8,0,3,3,104.0,44.8,50.5
s2b-r01,1,A,s2b-r01-155,0,0,81,0,2,0,1,1,102.0,44.8,50.5
s2b-r01,1,A,s2b-r01-156,0,0,22,0,32,0,4,4,170.0,44.8,50.5
s2b-r01,1,A,s2b-r01-157,0,0,30,0,32,0,5,5,62.0,44.8,50.5
s2b-r01,1,A,s2b-r01-158,0,0,22,0,32,0,5,5,64.0,44.8,50.5
s2b-r01,1,A,s2b-r01-159,0,0,86,0,32,0,5,5,52.0,44.8,50.5
s2b-r01,1,A,s2b-r01-160,0,0,86,0,32,0,5,5,78.0,44.8,50.5
s2b-r01,1,A,s2b-r01-161,0,0,75,0,1,0,0,0,22.0,44.8,50.5
s2b-r01,1,A,s2b-r01-162,0,0,158,0,2,0,1,1,20.0,44.8,50.5
s2b-r01,1,A,s2b-r01-163,0,0,158,0,1,0,0,0,32.0,44.8,50.5
s2b-r01,1,A,s2b-r01-164,0,0,75,0,2,0,1,1,26.0,44.8,50.5
s2b-r01,1,A,s2b-r01-165,0,0,168,0,32,0,5,5,35.0,44.8,50.5
s2b-r01,1,A,s2b-r01-166,0,0,168,0,32,0,5,5,45.0,44.8,50.5
s2b-r01,1,A,s2b-r01-167,0,0,23,0,16,0,4,4,56.0,44.8,50.5
s2b-r01,1,A,s2b-r01-168,0,0,18,0,1,0,0,0,49.0,44.8,50.5
s2b-r01,1,A,s2b-r01-169,0,0,45,0,16,0,4,4,17.0,44.8,50.5
s2b-r01,1,A,s2b-r01-170,0,0,149,0,16,0,4,4,19.0,44.8,50.5
s2b-r01,1,A,s2b-r01-171,0,0,80,0,2,0,1,1,79.0,44.8,50.5
s2b-r01,1,A,s2b-r01-172,0,0,84,0,1,0,0,0,94.0,44.8,50.5
s2b-r01,1,A,s2b-r01-173,0,0,160,0,1,0,0,0,33.0,44.8,50.5
s2b-r01,1,A,s2b-r01-174,0,0,160,0,1,0,0,0,17.0,44.8,50.5
s2b-r01,1,A,s2b-r01-175,0,0,87,0,2,0,1,1,38.0,44.8,50.5
s2b-r01,1,A,s2b-r01-176,0,0,33,0,1,0,1,0,85.0,44.8,50.5
s2b-r01,1,A,s2b-r01-177,0,0,155,0,16,0,4,4,77.0,44.8,50.5
s2b-r01,1,A,s2b-r01-178,0,0,33,0,16,0,4,4,103.0,44.8,50.5
s2b-r01,1,A,s2b-r01-179,0,0,68,0,2,0,4,1,1619.0,44.8,50.5
s2b-r01,1,A,s2b-r01-180,0,0,148,0,2,0,1,1,124.0,44.8,50.5
s2b-r01,1,A,s2b-r01-181,0,0,148,0,2,0,1,1,16.0,44.8,50.5
s2b-r01,1,A,s2b-r01-182,0,0,148,0,2,0,1,1,66.0,44.8,50.5
s2b-r01,1,A,s2b-r01-183,0,0,108,0,1,0,0,0,80.0,44.8,50.5
s2b-r01,1,A,s2b-r01-184,0,0,20,0,16,0,4,4,37.0,44.8,50.5
s2b-r01,1,A,s2b-r01-185,0,0,183,0,1,0,4,0,438.0,44.8,50.5
s2b-r01,1,A,s2b-r01-186,0,0,183,0,32,0,5,5,22.0,44.8,50.5
